Term|Code|SemanticType
low grade fever|C0239574|Finding
opioid analgesics|C0002772|Pharmacologic Substance
arthritis acute|C0263678|Disease or Syndrome
liver biopsy|C0193388|Diagnostic Procedure
juvenile rheumatoid arthritis|C0553662|Disease or Syndrome
chronic fatigue syndrome|C0015674|Disease or Syndrome
gout|C0018099|Disease or Syndrome
sarcoidosis|C0036202|Disease or Syndrome
joint space narrowing|C1859695|Finding
constitutional symptoms|C0009812|Sign or Symptom
tingling|C2242996|Sign or Symptom
heart problems|C0795691|Sign or Symptom
power doppler ultrasound|C1960437|Diagnostic Procedure
low level laser therapy|C0279027|Therapeutic or Preventive Procedure
disease modifying antirheumatic drugs|C0242708|Pharmacologic Substance
instability|C1444783|Finding
elevated erythrocyte sedimentation rate|C0151632|Finding
stress reduction|C0679002|Individual Behavior
attach|C0231441|Finding
female sex|C0015780|Finding
herpesvirus infections|C0019372|Disease or Syndrome
rheumatoid vasculitis|C0240903|Disease or Syndrome
disfigurement|C1707791|Finding
bed rest|C0004910|Therapeutic or Preventive Procedure
anaphylaxis|C0002792|Pathologic Function
new york heart association class iii|C1882086|Finding
pneumococcal polysaccharide vaccine|C0305065|Pharmacologic Substance
alcohol abuse|C0085762|Mental or Behavioral Dysfunction
joint replacements|C0185317|Therapeutic or Preventive Procedure
swollen joint|C0152031|Sign or Symptom
il 6|C0021760|Amino Acid, Peptide, or Protein
methotrexate|C0025677|Pharmacologic Substance
nodule|C0028259|Acquired Abnormality
refractory pain|C0030200|Sign or Symptom
diazepam|C0012010|Pharmacologic Substance
rheumatoid lung disease|C0994344|Disease or Syndrome
ulnar deviation|C0449752|Finding
antimalarial|C0003374|Pharmacologic Substance
cord compression|C0037926|Disease or Syndrome
blood tests|C0018941|Laboratory Procedure
psoriasis|C0033860|Disease or Syndrome
erythema nodosum|C0014743|Disease or Syndrome
lymphoma|C0024299|Neoplastic Process
lymphadenopathy syndrome|C0001857|Disease or Syndrome
itching|C0033774|Sign or Symptom
tenderness pain|C0234242|Sign or Symptom
tumor necrosis factor alpha|C0041368|Amino Acid, Peptide, or Protein
joint pains|C0003862|Sign or Symptom
disorders inflammatory|C1290884|Disease or Syndrome
hemolysis|C0019054|Pathologic Function
occipital headache|C0231613|Sign or Symptom
isometric exercises|C0022206|Therapeutic or Preventive Procedure
chorea|C0008489|Disease or Syndrome
exercise|C1522704|Therapeutic or Preventive Procedure
prosthesis|C0175649|Medical Device
pathologic process|C0030660|Pathologic Function
joints swelling|C0152031|Sign or Symptom
caring|C0150499|Individual Behavior
delayed type hypersensitivity|C0020522|Pathologic Function
collagenase|C0162745|Pharmacologic Substance
cardiovascular disease|C0007222|Disease or Syndrome
stomach problems|C2186536|Finding
discoid lupus erythematosus|C0024138|Disease or Syndrome
adjunctive therapy|C0677850|Therapeutic or Preventive Procedure
pneumonitis|C0032285|Disease or Syndrome
diclofenac sodium|C0700583|Pharmacologic Substance
progressive multifocal leukoencephalopathy|C0023524|Disease or Syndrome
immunosuppressants|C0021081|Pharmacologic Substance
nonsteroidal anti-inflammatory drugs|C0003211|Pharmacologic Substance
control symptoms|C1274136|Therapeutic or Preventive Procedure
dryness of eyes|C0314719|Sign or Symptom
nonmelanoma skin cancer|C0699893|Neoplastic Process
solu medrol|C0701466|Pharmacologic Substance
tetanus toxoid|C0305062|Immunologic Factor
wrist elbow|C0695657|Therapeutic or Preventive Procedure
imaging studies|C1881134|Diagnostic Procedure
oral administration|C0001563|Therapeutic or Preventive Procedure
range of motion exercise|C0150220|Therapeutic or Preventive Procedure
myocardial dysfunction|C0340515|Pathologic Function
rice|C1509547|Pharmacologic Substance
concurrent therapy|C0009429|Therapeutic or Preventive Procedure
activities of daily living|C2242847|Finding
biologic agent|C2979985|Pharmacologic Substance
devil's claw|C0771537|Pharmacologic Substance
calf swelling|C0238882|Finding
bone deformity|C0410719|Anatomical Abnormality
autoimmune response|C0004366|Pathologic Function
cyclosporine a|C0010592|Pharmacologic Substance
gold salts|C0302210|Inorganic Chemical
narcotic analgesics|C0027409|Pharmacologic Substance
bone destruction|C0238790|Disease or Syndrome
coronary heart disease|C0010068|Disease or Syndrome
muscle relaxation|C0700323|Disease or Syndrome
crowding|C0040433|Anatomical Abnormality
mass|C0577559|Finding
diphenhydramine|C0012522|Pharmacologic Substance
autoimmune disease|C0004364|Disease or Syndrome
occupational therapy|C1318464|Therapeutic or Preventive Procedure
ejection fraction|C2700378|Finding
pain joint|C0003862|Sign or Symptom
pulmonary inflammation|C0032285|Disease or Syndrome
alternative therapy|C0949216|Therapeutic or Preventive Procedure
over the counter|C0013231|Pharmacologic Substance
radicular pain|C0278147|Sign or Symptom
inflammation|C0021368|Pathologic Function
complete blood count|C0009555|Laboratory Procedure
device|C0025080|Medical Device
heart attack|C0027051|Disease or Syndrome
fungal infections|C0026946|Disease or Syndrome
skin fragility|C0549419|Finding
cervical myelopathy|C0149645|Disease or Syndrome
densitometry|C0011321|Laboratory Procedure
hair loss|C0002170|Finding
wrist surgery|C0187064|Therapeutic or Preventive Procedure
diabetes|C0011849|Disease or Syndrome
synovial biopsy|C0150887|Diagnostic Procedure
regulation|C1327622|Biologic Function
inflammatory response|C1155266|Pathologic Function
alcohol|C0001962|Organic Chemical
synovial hypertrophy|C0410574|Pathologic Function
crystal arthritis|C0152087|Disease or Syndrome
subcutaneous nodules|C0151811|Pathologic Function
antibody production|C0003261|Biologic Function
immunological tests|C0021061|Laboratory Procedure
amyloidosis|C0002726|Disease or Syndrome
hours of sleep|C2937255|Finding
type iv hypersensitivity|C0020522|Pathologic Function
bacterial antibodies|C0003244|Amino Acid, Peptide, or Protein
glucocorticoids|C0017710|Hormone
poor nutrition|C0162429|Disease or Syndrome
soft tissue swelling|C0037580|Finding
spondylitis|C0038012|Disease or Syndrome
virus infection|C0042769|Disease or Syndrome
